"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GSE17721_LPS_VS_POLYIC_8H_BMDC_DN","GSE17721_LPS_VS_POLYIC_8H_BMDC_DN","GSE17721_LPS_VS_POLYIC_8H_BMDC_DN","2/13","199/21372",0.00628930025655893,0.00628930025655893,0.0713851504765462,"161145/55213",2
"GSE23925_LIGHT_ZONE_VS_DARK_ZONE_BCELL_UP","GSE23925_LIGHT_ZONE_VS_DARK_ZONE_BCELL_UP","GSE23925_LIGHT_ZONE_VS_DARK_ZONE_BCELL_UP","2/13","199/21372",0.00628930025655893,0.00628930025655893,0.0713851504765462,"6810/23357",2
"GSE29949_CD8_POS_DC_SPLEEN_VS_MONOCYTE_BONE_MARROW_DN","GSE29949_CD8_POS_DC_SPLEEN_VS_MONOCYTE_BONE_MARROW_DN","GSE29949_CD8_POS_DC_SPLEEN_VS_MONOCYTE_BONE_MARROW_DN","2/13","199/21372",0.00628930025655893,0.00628930025655893,0.0713851504765462,"6810/91754",2
"GSE37416_0H_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_DN","GSE37416_0H_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_DN","GSE37416_0H_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_DN","2/13","199/21372",0.00628930025655893,0.00628930025655893,0.0713851504765462,"6810/1201",2
"GSE5542_UNTREATED_VS_IFNG_TREATED_EPITHELIAL_CELLS_24H_DN","GSE5542_UNTREATED_VS_IFNG_TREATED_EPITHELIAL_CELLS_24H_DN","GSE5542_UNTREATED_VS_IFNG_TREATED_EPITHELIAL_CELLS_24H_DN","2/13","199/21372",0.00628930025655893,0.00628930025655893,0.0713851504765462,"161145/23357",2
"GSE6674_ANTI_IGM_VS_ANTI_IGM_AND_CPG_STIM_BCELL_UP","GSE6674_ANTI_IGM_VS_ANTI_IGM_AND_CPG_STIM_BCELL_UP","GSE6674_ANTI_IGM_VS_ANTI_IGM_AND_CPG_STIM_BCELL_UP","2/13","199/21372",0.00628930025655893,0.00628930025655893,0.0713851504765462,"161145/6911",2
"GSE13306_TREG_VS_TCONV_LAMINA_PROPRIA_DN","GSE13306_TREG_VS_TCONV_LAMINA_PROPRIA_DN","GSE13306_TREG_VS_TCONV_LAMINA_PROPRIA_DN","2/13","200/21372",0.0063506521828633,0.0063506521828633,0.0713851504765462,"6911/11273",2
"GSE14308_INDUCED_VS_NATURAL_TREG_DN","GSE14308_INDUCED_VS_NATURAL_TREG_DN","GSE14308_INDUCED_VS_NATURAL_TREG_DN","2/13","200/21372",0.0063506521828633,0.0063506521828633,0.0713851504765462,"6911/6810",2
"GSE15330_LYMPHOID_MULTIPOTENT_VS_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_DN","GSE15330_LYMPHOID_MULTIPOTENT_VS_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_DN","GSE15330_LYMPHOID_MULTIPOTENT_VS_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_DN","2/13","200/21372",0.0063506521828633,0.0063506521828633,0.0713851504765462,"161145/23357",2
"GSE17721_LPS_VS_PAM3CSK4_12H_BMDC_UP","GSE17721_LPS_VS_PAM3CSK4_12H_BMDC_UP","GSE17721_LPS_VS_PAM3CSK4_12H_BMDC_UP","2/13","200/21372",0.0063506521828633,0.0063506521828633,0.0713851504765462,"161145/6810",2
"GSE17721_LPS_VS_PAM3CSK4_1H_BMDC_UP","GSE17721_LPS_VS_PAM3CSK4_1H_BMDC_UP","GSE17721_LPS_VS_PAM3CSK4_1H_BMDC_UP","2/13","200/21372",0.0063506521828633,0.0063506521828633,0.0713851504765462,"23357/4150",2
"GSE17721_PAM3CSK4_VS_CPG_4H_BMDC_DN","GSE17721_PAM3CSK4_VS_CPG_4H_BMDC_DN","GSE17721_PAM3CSK4_VS_CPG_4H_BMDC_DN","2/13","200/21372",0.0063506521828633,0.0063506521828633,0.0713851504765462,"161145/1201",2
"GSE17721_PAM3CSK4_VS_GADIQUIMOD_1H_BMDC_DN","GSE17721_PAM3CSK4_VS_GADIQUIMOD_1H_BMDC_DN","GSE17721_PAM3CSK4_VS_GADIQUIMOD_1H_BMDC_DN","2/13","200/21372",0.0063506521828633,0.0063506521828633,0.0713851504765462,"161145/1201",2
"GSE17721_PAM3CSK4_VS_GADIQUIMOD_2H_BMDC_DN","GSE17721_PAM3CSK4_VS_GADIQUIMOD_2H_BMDC_DN","GSE17721_PAM3CSK4_VS_GADIQUIMOD_2H_BMDC_DN","2/13","200/21372",0.0063506521828633,0.0063506521828633,0.0713851504765462,"161145/91754",2
"GSE17721_POLYIC_VS_GARDIQUIMOD_4H_BMDC_UP","GSE17721_POLYIC_VS_GARDIQUIMOD_4H_BMDC_UP","GSE17721_POLYIC_VS_GARDIQUIMOD_4H_BMDC_UP","2/13","200/21372",0.0063506521828633,0.0063506521828633,0.0713851504765462,"161145/91754",2
"GSE17721_POLYIC_VS_PAM3CSK4_2H_BMDC_UP","GSE17721_POLYIC_VS_PAM3CSK4_2H_BMDC_UP","GSE17721_POLYIC_VS_PAM3CSK4_2H_BMDC_UP","2/13","200/21372",0.0063506521828633,0.0063506521828633,0.0713851504765462,"161145/91754",2
"GSE20198_IL12_IL18_VS_IFNA_TREATED_ACT_CD4_TCELL_UP","GSE20198_IL12_IL18_VS_IFNA_TREATED_ACT_CD4_TCELL_UP","GSE20198_IL12_IL18_VS_IFNA_TREATED_ACT_CD4_TCELL_UP","2/13","200/21372",0.0063506521828633,0.0063506521828633,0.0713851504765462,"6810/55213",2
"GSE22140_HEALTHY_VS_ARTHRITIC_GERMFREE_MOUSE_CD4_TCELL_DN","GSE22140_HEALTHY_VS_ARTHRITIC_GERMFREE_MOUSE_CD4_TCELL_DN","GSE22140_HEALTHY_VS_ARTHRITIC_GERMFREE_MOUSE_CD4_TCELL_DN","2/13","200/21372",0.0063506521828633,0.0063506521828633,0.0713851504765462,"6810/1201",2
